,hotel_name,hotel_review,hotel_tourlist
110,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
111,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
112,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
113,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
114,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
115,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
116,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
117,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
118,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
119,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
120,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
121,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
122,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
123,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
124,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
125,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
126,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
127,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
128,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
129,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
130,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
